"Statistic Label","Year","County","UNIT","VALUE"
"Injury Collisions","2021","Wexford","Number","142"
"Injury Collisions","2021","Wicklow","Number","131"
"Injury Collisions","2021","Clare","Number","95"
"Injury Collisions","2021","Cork","Number","467"
"Injury Collisions","2021","Kerry","Number","164"
"Injury Collisions","2021","Limerick","Number","196"
"Injury Collisions","2021","Tipperary","Number","135"
"Injury Collisions","2021","Waterford","Number","139"
"Injury Collisions","2021","Galway","Number","241"
"Injury Collisions","2021","Leitrim","Number","21"
"Injury Collisions","2021","Mayo","Number","115"
"Injury Collisions","2021","Roscommon","Number","52"
"Injury Collisions","2021","Sligo","Number","59"
"Injury Collisions","2021","Cavan","Number","100"
"Injury Collisions","2021","Donegal","Number","162"
"Injury Collisions","2021","Monaghan","Number","70"
"Injury Collisions","2022","All Counties","Number","5568"
"Injury Collisions","2022","Carlow","Number","80"
"Injury Collisions","2022","Dublin","Number","1698"
"Injury Collisions","2022","Kildare","Number","243"
"Injury Collisions","2022","Kilkenny","Number","94"
"Injury Collisions","2022","Laois","Number","88"
"Injury Collisions","2022","Longford","Number","66"
"Injury Collisions","2022","Louth","Number","192"
"Injury Collisions","2022","Meath","Number","222"
"Injury Collisions","2022","Offaly","Number","87"
"Injury Collisions","2022","Westmeath","Number","80"
"Injury Collisions","2022","Wexford","Number","168"
"Injury Collisions","2022","Wicklow","Number","112"
"Injury Collisions","2022","Clare","Number","107"
"Injury Collisions","2022","Cork","Number","591"
"Injury Collisions","2022","Kerry","Number","178"
"Injury Collisions","2022","Limerick","Number","265"
"Injury Collisions","2022","Tipperary","Number","169"
"Injury Collisions","2022","Waterford","Number","159"
"Injury Collisions","2022","Galway","Number","278"
"Injury Collisions","2022","Leitrim","Number","32"
"Injury Collisions","2022","Mayo","Number","135"
"Injury Collisions","2022","Roscommon","Number","63"
"Injury Collisions","2022","Sligo","Number","87"
"Injury Collisions","2022","Cavan","Number","90"
"Injury Collisions","2022","Donegal","Number","199"
"Injury Collisions","2022","Monaghan","Number","85"
"All Fatal and Injury Collisions","2013","All Counties","Number","4976"
"All Fatal and Injury Collisions","2013","Carlow","Number","60"
"All Fatal and Injury Collisions","2013","Dublin","Number","1156"
"All Fatal and Injury Collisions","2013","Kildare","Number","227"
"All Fatal and Injury Collisions","2013","Kilkenny","Number","88"
"All Fatal and Injury Collisions","2013","Laois","Number","82"
"All Fatal and Injury Collisions","2013","Longford","Number","49"
"All Fatal and Injury Collisions","2013","Louth","Number","197"
"All Fatal and Injury Collisions","2013","Meath","Number","167"
"All Fatal and Injury Collisions","2013","Offaly","Number","97"
"All Fatal and Injury Collisions","2013","Westmeath","Number","70"
"All Fatal and Injury Collisions","2013","Wexford","Number","139"
"All Fatal and Injury Collisions","2013","Wicklow","Number","140"
"All Fatal and Injury Collisions","2013","Clare","Number","115"
"All Fatal and Injury Collisions","2013","Cork","Number","544"
"All Fatal and Injury Collisions","2013","Kerry","Number","174"
"All Fatal and Injury Collisions","2013","Limerick","Number","287"
"All Fatal and Injury Collisions","2013","Tipperary","Number","180"
"All Fatal and Injury Collisions","2013","Waterford","Number","131"
"All Fatal and Injury Collisions","2013","Galway","Number","314"
"All Fatal and Injury Collisions","2013","Leitrim","Number","34"
"All Fatal and Injury Collisions","2013","Mayo","Number","150"
"All Fatal and Injury Collisions","2013","Roscommon","Number","79"
"All Fatal and Injury Collisions","2013","Sligo","Number","90"
"All Fatal and Injury Collisions","2013","Cavan","Number","98"
"All Fatal and Injury Collisions","2013","Donegal","Number","232"
"All Fatal and Injury Collisions","2013","Monaghan","Number","76"
"All Fatal and Injury Collisions","2014","All Counties","Number","5797"
"All Fatal and Injury Collisions","2014","Carlow","Number","69"
"All Fatal and Injury Collisions","2014","Dublin","Number","1737"
"All Fatal and Injury Collisions","2014","Kildare","Number","226"
"All Fatal and Injury Collisions","2014","Kilkenny","Number","98"
"All Fatal and Injury Collisions","2014","Laois","Number","91"
"All Fatal and Injury Collisions","2014","Longford","Number","63"
"All Fatal and Injury Collisions","2014","Louth","Number","203"
"All Fatal and Injury Collisions","2014","Meath","Number","220"
"All Fatal and Injury Collisions","2014","Offaly","Number","65"
"All Fatal and Injury Collisions","2014","Westmeath","Number","108"
"All Fatal and Injury Collisions","2014","Wexford","Number","162"
"All Fatal and Injury Collisions","2014","Wicklow","Number","162"
