"Statistic Label","Year","Day of Week","UNIT","VALUE"
"Injury Collisions","2014","Thursday","Number","811"
"Injury Collisions","2014","Friday","Number","905"
"Injury Collisions","2014","Saturday","Number","831"
"Injury Collisions","2015","All days","Number","5676"
"Injury Collisions","2015","Sunday","Number","736"
"Injury Collisions","2015","Monday","Number","841"
"Injury Collisions","2015","Tuesday","Number","828"
"Injury Collisions","2015","Wednesday","Number","856"
"Injury Collisions","2015","Thursday","Number","824"
"Injury Collisions","2015","Friday","Number","863"
"Injury Collisions","2015","Saturday","Number","728"
"Injury Collisions","2016","All days","Number","5717"
"Injury Collisions","2016","Sunday","Number","709"
"Injury Collisions","2016","Monday","Number","826"
"Injury Collisions","2016","Tuesday","Number","825"
"Injury Collisions","2016","Wednesday","Number","845"
"Injury Collisions","2016","Thursday","Number","811"
"Injury Collisions","2016","Friday","Number","907"
"Injury Collisions","2016","Saturday","Number","794"
"Injury Collisions","2017","All days","Number","5914"
"Injury Collisions","2017","Sunday","Number","761"
"Injury Collisions","2017","Monday","Number","829"
"Injury Collisions","2017","Tuesday","Number","837"
"Injury Collisions","2017","Wednesday","Number","888"
"Injury Collisions","2017","Thursday","Number","887"
"Injury Collisions","2017","Friday","Number","903"
"Injury Collisions","2017","Saturday","Number","809"
"Injury Collisions","2018","All days","Number","5974"
"Injury Collisions","2018","Sunday","Number","705"
"Injury Collisions","2018","Monday","Number","874"
"Injury Collisions","2018","Tuesday","Number","852"
"Injury Collisions","2018","Wednesday","Number","845"
"Injury Collisions","2018","Thursday","Number","925"
"Injury Collisions","2018","Friday","Number","1003"
"Injury Collisions","2018","Saturday","Number","770"
"Injury Collisions","2019","All days","Number","5698"
"Injury Collisions","2019","Sunday","Number","686"
"Injury Collisions","2019","Monday","Number","797"
"Injury Collisions","2019","Tuesday","Number","841"
"Injury Collisions","2019","Wednesday","Number","869"
"Injury Collisions","2019","Thursday","Number","882"
"Injury Collisions","2019","Friday","Number","914"
"Injury Collisions","2019","Saturday","Number","709"
"Injury Collisions","2020","All days","Number","4293"
"Injury Collisions","2020","Sunday","Number","497"
"Injury Collisions","2020","Monday","Number","602"
"Injury Collisions","2020","Tuesday","Number","603"
"Injury Collisions","2020","Wednesday","Number","627"
"Injury Collisions","2020","Thursday","Number","671"
"Injury Collisions","2020","Friday","Number","720"
"Injury Collisions","2020","Saturday","Number","573"
"Injury Collisions","2021","All days","Number","4789"
"Injury Collisions","2021","Sunday","Number","608"
"Injury Collisions","2021","Monday","Number","627"
"Injury Collisions","2021","Tuesday","Number","649"
"Injury Collisions","2021","Wednesday","Number","708"
"Injury Collisions","2021","Thursday","Number","712"
"Injury Collisions","2021","Friday","Number","796"
"Injury Collisions","2021","Saturday","Number","689"
"Injury Collisions","2022","All days","Number","5568"
"Injury Collisions","2022","Sunday","Number","708"
"Injury Collisions","2022","Monday","Number","755"
"Injury Collisions","2022","Tuesday","Number","806"
"Injury Collisions","2022","Wednesday","Number","830"
"Injury Collisions","2022","Thursday","Number","840"
"Injury Collisions","2022","Friday","Number","844"
"Injury Collisions","2022","Saturday","Number","785"
"All Fatal and Injury Collisions","2005","All days","Number","6533"
"All Fatal and Injury Collisions","2005","Sunday","Number","998"
"All Fatal and Injury Collisions","2005","Monday","Number","935"
"All Fatal and Injury Collisions","2005","Tuesday","Number","808"
"All Fatal and Injury Collisions","2005","Wednesday","Number","856"
"All Fatal and Injury Collisions","2005","Thursday","Number","896"
"All Fatal and Injury Collisions","2005","Friday","Number","1042"
"All Fatal and Injury Collisions","2005","Saturday","Number","998"
"All Fatal and Injury Collisions","2006","All days","Number","6018"
"All Fatal and Injury Collisions","2006","Sunday","Number","971"
"All Fatal and Injury Collisions","2006","Monday","Number","866"
"All Fatal and Injury Collisions","2006","Tuesday","Number","830"
"All Fatal and Injury Collisions","2006","Wednesday","Number","750"
"All Fatal and Injury Collisions","2006","Thursday","Number","751"
"All Fatal and Injury Collisions","2006","Friday","Number","910"
"All Fatal and Injury Collisions","2006","Saturday","Number","940"
