"Statistic Label","Age Group","Sex","Province County or City","CensusYear","UNIT","VALUE"
"2002 Population","0 - 4 years","Male","North Tipperary","2002","Number","2232"
"2002 Population","0 - 4 years","Male","South Tipperary","2002","Number","2873"
"2002 Population","0 - 4 years","Male","Waterford","2002","Number","3782"
"2002 Population","0 - 4 years","Male","Waterford City","2002","Number","1640"
"2002 Population","0 - 4 years","Male","Waterford County","2002","Number","2142"
"2002 Population","0 - 4 years","Male","Connacht","2002","Number","15851"
"2002 Population","0 - 4 years","Male","Galway","2002","Number","7242"
"2002 Population","0 - 4 years","Male","Galway City","2002","Number","1907"
"2002 Population","0 - 4 years","Male","Galway County","2002","Number","5335"
"2002 Population","0 - 4 years","Male","Leitrim","2002","Number","880"
"2002 Population","0 - 4 years","Male","Mayo","2002","Number","3960"
"2002 Population","0 - 4 years","Male","Roscommon","2002","Number","1761"
"2002 Population","0 - 4 years","Male","Sligo","2002","Number","2008"
"2002 Population","0 - 4 years","Male","Ulster (part of)","2002","Number","9319"
"2002 Population","0 - 4 years","Male","Cavan","2002","Number","2126"
"2002 Population","0 - 4 years","Male","Donegal","2002","Number","5274"
"2002 Population","0 - 4 years","Male","Monaghan","2002","Number","1919"
"2002 Population","0 - 4 years","Female","State","2002","Number","135590"
"2002 Population","0 - 4 years","Female","Leinster","2002","Number","73999"
"2002 Population","0 - 4 years","Female","Carlow","2002","Number","1638"
"2002 Population","0 - 4 years","Female","Dublin","2002","Number","36295"
"2002 Population","0 - 4 years","Female","Dublin City","2002","Number","13738"
"2002 Population","0 - 4 years","Female","Dún Laoghaire-Rathdown","2002","Number","5806"
"2002 Population","0 - 4 years","Female","Fingal","2002","Number","7568"
"2002 Population","0 - 4 years","Female","South Dublin","2002","Number","9183"
"2002 Population","0 - 4 years","Female","Kildare","2002","Number","6773"
"2002 Population","0 - 4 years","Female","Kilkenny","2002","Number","2777"
"2002 Population","0 - 4 years","Female","Laois","2002","Number","2334"
"2002 Population","0 - 4 years","Female","Longford","2002","Number","1076"
"2002 Population","0 - 4 years","Female","Louth","2002","Number","4067"
"2002 Population","0 - 4 years","Female","Meath","2002","Number","5413"
"2002 Population","0 - 4 years","Female","Offaly","2002","Number","2448"
"2002 Population","0 - 4 years","Female","Westmeath","2002","Number","2722"
"2002 Population","0 - 4 years","Female","Wexford","2002","Number","4356"
"2002 Population","0 - 4 years","Female","Wicklow","2002","Number","4100"
"2002 Population","0 - 4 years","Female","Munster","2002","Number","37517"
"2002 Population","0 - 4 years","Female","Clare","2002","Number","3804"
"2002 Population","0 - 4 years","Female","Cork","2002","Number","15272"
"2002 Population","0 - 4 years","Female","Cork City","2002","Number","3313"
"2002 Population","0 - 4 years","Female","Cork County","2002","Number","11959"
"2002 Population","0 - 4 years","Female","Kerry","2002","Number","4227"
"2002 Population","0 - 4 years","Female","Limerick","2002","Number","5820"
"2002 Population","0 - 4 years","Female","Limerick City","2002","Number","1822"
"2002 Population","0 - 4 years","Female","Limerick County","2002","Number","3998"
"2002 Population","0 - 4 years","Female","North Tipperary","2002","Number","2163"
"2002 Population","0 - 4 years","Female","South Tipperary","2002","Number","2694"
"2002 Population","0 - 4 years","Female","Waterford","2002","Number","3537"
"2002 Population","0 - 4 years","Female","Waterford City","2002","Number","1515"
"2002 Population","0 - 4 years","Female","Waterford County","2002","Number","2022"
"2002 Population","0 - 4 years","Female","Connacht","2002","Number","15106"
"2002 Population","0 - 4 years","Female","Galway","2002","Number","6942"
"2002 Population","0 - 4 years","Female","Galway City","2002","Number","1833"
"2002 Population","0 - 4 years","Female","Galway County","2002","Number","5109"
"2002 Population","0 - 4 years","Female","Leitrim","2002","Number","803"
"2002 Population","0 - 4 years","Female","Mayo","2002","Number","3800"
"2002 Population","0 - 4 years","Female","Roscommon","2002","Number","1728"
"2002 Population","0 - 4 years","Female","Sligo","2002","Number","1833"
"2002 Population","0 - 4 years","Female","Ulster (part of)","2002","Number","8968"
"2002 Population","0 - 4 years","Female","Cavan","2002","Number","2063"
"2002 Population","0 - 4 years","Female","Donegal","2002","Number","5153"
"2002 Population","0 - 4 years","Female","Monaghan","2002","Number","1752"
