Year,County,Age Range,Gender,Count,Missing
2023,Longford,Under 18,Male,0,N
2023,Longford,Under 18,Female,0,N
2023,Longford,Under 18,Non-binary,0,N
2023,Longford,Under 18,In another way,0,N
2023,Longford,Under 18,Unknown,0,N
2023,Longford,18 to 24 years,Male,0,N
2023,Longford,18 to 24 years,Female,0,N
2023,Longford,18 to 24 years,Non-binary,0,N
2023,Longford,18 to 24 years,In another way,0,N
2023,Longford,18 to 24 years,Unknown,0,N
2023,Longford,25 to 34 years,Male,7,N
2023,Longford,25 to 34 years,Female,0,Y
2023,Longford,25 to 34 years,Non-binary,0,N
2023,Longford,25 to 34 years,In another way,0,N
2023,Longford,25 to 34 years,Unknown,0,N
2023,Longford,35 to 44 years,Male,8,N
2023,Longford,35 to 44 years,Female,7,N
2023,Longford,35 to 44 years,Non-binary,0,N
2023,Longford,35 to 44 years,In another way,0,N
2023,Longford,35 to 44 years,Unknown,0,N
2023,Longford,45 to 64 years,Male,12,N
2023,Longford,45 to 64 years,Female,0,Y
2023,Longford,45 to 64 years,Non-binary,0,N
2023,Longford,45 to 64 years,In another way,0,N
2023,Longford,45 to 64 years,Unknown,0,N
2023,Longford,65 years or over,Male,0,Y
2023,Longford,65 years or over,Female,0,N
2023,Longford,65 years or over,Non-binary,0,N
2023,Longford,65 years or over,In another way,0,N
2023,Longford,65 years or over,Unknown,0,N
2023,Longford,Unknown,Male,0,N
2023,Longford,Unknown,Female,0,N
2023,Longford,Unknown,Non-binary,0,N
2023,Longford,Unknown,In another way,0,N
2023,Longford,Unknown,Unknown,0,N
2023,Louth,Under 18,Male,0,Y
2023,Louth,Under 18,Female,0,Y
2023,Louth,Under 18,Non-binary,0,N
2023,Louth,Under 18,In another way,0,N
2023,Louth,Under 18,Unknown,0,N
2023,Louth,18 to 24 years,Male,0,Y
2023,Louth,18 to 24 years,Female,0,Y
2023,Louth,18 to 24 years,Non-binary,0,N
2023,Louth,18 to 24 years,In another way,0,N
2023,Louth,18 to 24 years,Unknown,0,N
2023,Louth,25 to 34 years,Male,25,N
2023,Louth,25 to 34 years,Female,21,N
2023,Louth,25 to 34 years,Non-binary,0,N
2023,Louth,25 to 34 years,In another way,0,N
2023,Louth,25 to 34 years,Unknown,0,N
2023,Louth,35 to 44 years,Male,50,N
2023,Louth,35 to 44 years,Female,16,N
2023,Louth,35 to 44 years,Non-binary,0,N
2023,Louth,35 to 44 years,In another way,0,N
2023,Louth,35 to 44 years,Unknown,0,N
2023,Louth,45 to 64 years,Male,58,N
2023,Louth,45 to 64 years,Female,42,N
2023,Louth,45 to 64 years,Non-binary,0,N
2023,Louth,45 to 64 years,In another way,0,N
2023,Louth,45 to 64 years,Unknown,0,N
2023,Louth,65 years or over,Male,0,Y
2023,Louth,65 years or over,Female,0,Y
2023,Louth,65 years or over,Non-binary,0,N
2023,Louth,65 years or over,In another way,0,N
2023,Louth,65 years or over,Unknown,0,N
2023,Louth,Unknown,Male,0,N
2023,Louth,Unknown,Female,0,N
2023,Louth,Unknown,Non-binary,0,N
2023,Louth,Unknown,In another way,0,N
2023,Louth,Unknown,Unknown,0,N
2023,Leitrim,Under 18,Male,0,Y
2023,Leitrim,Under 18,Female,0,N
2023,Leitrim,Under 18,Non-binary,0,N
2023,Leitrim,Under 18,In another way,0,N
2023,Leitrim,Under 18,Unknown,0,N
2023,Leitrim,18 to 24 years,Male,6,N
2023,Leitrim,18 to 24 years,Female,0,N
2023,Leitrim,18 to 24 years,Non-binary,0,N
2023,Leitrim,18 to 24 years,In another way,0,N
2023,Leitrim,18 to 24 years,Unknown,0,N
2023,Leitrim,25 to 34 years,Male,8,N
2023,Leitrim,25 to 34 years,Female,0,Y
2023,Leitrim,25 to 34 years,Non-binary,0,N
2023,Leitrim,25 to 34 years,In another way,0,N
2023,Leitrim,25 to 34 years,Unknown,0,N
2023,Leitrim,35 to 44 years,Male,11,N
2023,Leitrim,35 to 44 years,Female,9,N
2023,Leitrim,35 to 44 years,Non-binary,0,N
2023,Leitrim,35 to 44 years,In another way,0,N
2023,Leitrim,35 to 44 years,Unknown,0,N
2023,Leitrim,45 to 64 years,Male,21,N
2023,Leitrim,45 to 64 years,Female,14,N
2023,Leitrim,45 to 64 years,Non-binary,0,N
2023,Leitrim,45 to 64 years,In another way,0,N
2023,Leitrim,45 to 64 years,Unknown,0,N
2023,Leitrim,65 years or over,Male,0,Y
2023,Leitrim,65 years or over,Female,0,Y
2023,Leitrim,65 years or over,Non-binary,0,N
2023,Leitrim,65 years or over,In another way,0,N
2023,Leitrim,65 years or over,Unknown,0,N
2023,Leitrim,Unknown,Male,0,N
2023,Leitrim,Unknown,Female,0,N
2023,Leitrim,Unknown,Non-binary,0,N
2023,Leitrim,Unknown,In another way,0,N
2023,Leitrim,Unknown,Unknown,0,N
2023,Laois,Under 18,Male,0,N
2023,Laois,Under 18,Female,0,N
2023,Laois,Under 18,Non-binary,0,N
2023,Laois,Under 18,In another way,0,N
2023,Laois,Under 18,Unknown,0,N
2023,Laois,18 to 24 years,Male,10,N
2023,Laois,18 to 24 years,Female,0,Y
2023,Laois,18 to 24 years,Non-binary,0,N
2023,Laois,18 to 24 years,In another way,0,N
2023,Laois,18 to 24 years,Unknown,0,N
2023,Laois,25 to 34 years,Male,28,N
2023,Laois,25 to 34 years,Female,0,Y
2023,Laois,25 to 34 years,Non-binary,0,N
2023,Laois,25 to 34 years,In another way,0,N
2023,Laois,25 to 34 years,Unknown,0,N
2023,Laois,35 to 44 years,Male,21,N
2023,Laois,35 to 44 years,Female,12,N
2023,Laois,35 to 44 years,Non-binary,0,N
2023,Laois,35 to 44 years,In another way,0,N
2023,Laois,35 to 44 years,Unknown,0,N
2023,Laois,45 to 64 years,Male,19,N
2023,Laois,45 to 64 years,Female,12,N
2023,Laois,45 to 64 years,Non-binary,0,N
2023,Laois,45 to 64 years,In another way,0,N
2023,Laois,45 to 64 years,Unknown,0,N
2023,Laois,65 years or over,Male,0,Y
2023,Laois,65 years or over,Female,0,Y
2023,Laois,65 years or over,Non-binary,0,N
2023,Laois,65 years or over,In another way,0,N
2023,Laois,65 years or over,Unknown,0,N
2023,Laois,Unknown,Male,0,N
2023,Laois,Unknown,Female,0,N
2023,Laois,Unknown,Non-binary,0,N
2023,Laois,Unknown,In another way,0,N
2023,Laois,Unknown,Unknown,0,N
2023,Meath,Under 18,Male,0,N
2023,Meath,Under 18,Female,0,Y
2023,Meath,Under 18,Non-binary,0,N
2023,Meath,Under 18,In another way,0,N
2023,Meath,Under 18,Unknown,0,N
2023,Meath,18 to 24 years,Male,0,Y
2023,Meath,18 to 24 years,Female,6,N
2023,Meath,18 to 24 years,Non-binary,0,N
2023,Meath,18 to 24 years,In another way,0,N
2023,Meath,18 to 24 years,Unknown,0,N
2023,Meath,25 to 34 years,Male,22,N
2023,Meath,25 to 34 years,Female,12,N
2023,Meath,25 to 34 years,Non-binary,0,N
2023,Meath,25 to 34 years,In another way,0,N
2023,Meath,25 to 34 years,Unknown,0,N
2023,Meath,35 to 44 years,Male,37,N
2023,Meath,35 to 44 years,Female,18,N
2023,Meath,35 to 44 years,Non-binary,0,N
2023,Meath,35 to 44 years,In another way,0,N
2023,Meath,35 to 44 years,Unknown,0,N
2023,Meath,45 to 64 years,Male,32,N
2023,Meath,45 to 64 years,Female,48,N
2023,Meath,45 to 64 years,Non-binary,0,N
2023,Meath,45 to 64 years,In another way,0,N
2023,Meath,45 to 64 years,Unknown,0,N
2023,Meath,65 years or over,Male,0,Y
2023,Meath,65 years or over,Female,0,Y
2023,Meath,65 years or over,Non-binary,0,N
2023,Meath,65 years or over,In another way,0,N
2023,Meath,65 years or over,Unknown,0,N
2023,Meath,Unknown,Male,0,N
2023,Meath,Unknown,Female,0,N
2023,Meath,Unknown,Non-binary,0,N
2023,Meath,Unknown,In another way,0,N
2023,Meath,Unknown,Unknown,0,N
2023,Monaghan,Under 18,Male,0,N
2023,Monaghan,Under 18,Female,0,Y
2023,Monaghan,Under 18,Non-binary,0,N
2023,Monaghan,Under 18,In another way,0,N
2023,Monaghan,Under 18,Unknown,0,N
2023,Monaghan,18 to 24 years,Male,0,Y
2023,Monaghan,18 to 24 years,Female,0,Y
2023,Monaghan,18 to 24 years,Non-binary,0,N
2023,Monaghan,18 to 24 years,In another way,0,N
